iteration,mean_reward,mean_episode_length
474,773.25,968.69
475,800.95,996.78
476,802.45,998.10
477,776.38,971.79
478,790.48,989.76
479,788.91,988.45
480,801.83,1000.00
481,791.45,994.32
482,794.41,992.93
483,799.75,996.09
484,792.44,992.16
485,776.73,963.90
486,800.23,994.11
487,800.42,992.11
488,786.79,978.29
489,773.15,962.28
490,790.71,990.33
491,794.93,988.20
492,805.15,999.36
493,792.32,996.31
494,804.36,996.31
495,788.81,988.38
496,797.22,990.18
497,790.55,987.84
498,790.25,981.32
499,811.94,999.78
